position	wl	slice	min.elapsed	expTcorr_bs_intden	exptime.sec	bs.intden	mean_bg_intden	mean_intden	rb_radius	threshold	area_threshold	cellarea_percent	total_area
A02b	1.00	10.00	1336.00	2829515058.43	0.50	1414757529.22	473.14	1450.40	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	11.00	1485.00	5864981880.43	0.50	2932490940.22	473.14	2498.79	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	12.00	1633.00	9033599696.48	0.37	3303198964.22	473.14	2754.86	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	13.00	1783.00	11524526298.13	0.30	3431623622.22	473.14	2843.57	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	14.00	1931.00	13686757683.41	0.26	3614275788.22	473.14	2969.74	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	15.00	2080.00	15328471194.07	0.25	3772413403.22	473.14	3078.97	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	16.00	2228.00	16450921524.14	0.24	3951067175.22	473.14	3202.38	50.00	MaxEntropy	50.00	100.00	1447680.00
A02c	1.00	1.00	0.00	1368812.96	0.50	684406.48	468.78	469.25	50.00	MaxEntropy	50.00	0.52	1447680.00
A02c	1.00	2.00	148.00	2600046.37	0.50	1300023.19	468.78	469.68	50.00	MaxEntropy	50.00	0.79	1447680.00
A02c	1.00	3.00	296.00	6278439.88	0.50	3139219.94	467.16	469.33	50.00	MaxEntropy	50.00	1.31	1447680.00
A02c	1.00	4.00	444.00	16330493.24	0.50	8165246.62	466.57	472.21	50.00	MaxEntropy	50.00	2.41	1447680.00
A02c	1.00	5.00	593.00	42068243.01	0.50	21034121.51	466.95	481.48	50.00	MaxEntropy	50.00	4.58	1447680.00
A02c	1.00	6.00	742.00	106827376.32	0.50	53413688.16	468.38	505.28	50.00	MaxEntropy	50.00	8.60	1447680.00
A02c	1.00	7.00	890.00	261088860.16	0.50	130544430.08	474.73	564.91	50.00	MaxEntropy	50.00	15.41	1447680.00
A02c	1.00	8.00	1038.00	565206729.21	0.50	282603364.61	482.86	678.08	50.00	MaxEntropy	50.00	26.33	1447680.00
